date,book,page
1986-04-27,The Essential Calvin and Hobbes,87
1986-04-28,Calvin and Hobbes,79
1986-04-28,The Essential Calvin and Hobbes,88
1986-04-29,Calvin and Hobbes,79
1986-04-29,The Essential Calvin and Hobbes,88
1986-04-30,Calvin and Hobbes,79
1986-04-30,The Essential Calvin and Hobbes,88
1986-05-01,Calvin and Hobbes,80
1986-05-01,The Essential Calvin and Hobbes,89
1986-05-02,Calvin and Hobbes,80
1986-05-02,The Essential Calvin and Hobbes,89
1986-05-03,Calvin and Hobbes,80
1986-05-03,The Essential Calvin and Hobbes,89
1986-05-04,Calvin and Hobbes,81
1986-05-04,The Essential Calvin and Hobbes,90
1986-05-05,The Calvin and Hobbes Tenth Anniversary Book,23
1986-05-05,Calvin and Hobbes,82
1986-05-05,The Essential Calvin and Hobbes,91
1986-05-06,Calvin and Hobbes,82
1986-05-06,The Essential Calvin and Hobbes,91
1986-05-07,Calvin and Hobbes,82
1986-05-07,The Essential Calvin and Hobbes,91
1986-05-08,Calvin and Hobbes,83
1986-05-08,The Essential Calvin and Hobbes,92
1986-05-09,Calvin and Hobbes,83
1986-05-09,The Essential Calvin and Hobbes,92
1986-05-10,Calvin and Hobbes,83
1986-05-10,The Essential Calvin and Hobbes,92
1986-05-11,Calvin and Hobbes,84
1986-05-11,The Essential Calvin and Hobbes,93
1986-05-12,Calvin and Hobbes,85
1986-05-12,The Essential Calvin and Hobbes,94
1986-05-13,Calvin and Hobbes,85
1986-05-13,The Essential Calvin and Hobbes,94
1986-05-14,Calvin and Hobbes,85
1986-05-14,The Essential Calvin and Hobbes,94
1986-05-15,Calvin and Hobbes,86
1986-05-15,The Essential Calvin and Hobbes,95
1986-05-16,Calvin and Hobbes,86
1986-05-16,The Essential Calvin and Hobbes,95
1986-05-17,Calvin and Hobbes,86
1986-05-17,The Essential Calvin and Hobbes,95
1986-05-18,Calvin and Hobbes: Sunday Pages 1985-1995,28
1986-05-18,Calvin and Hobbes: Sunday Pages 1985-1995,29
1986-05-18,Calvin and Hobbes,87
1986-05-18,The Essential Calvin and Hobbes,96
1986-05-19,Calvin and Hobbes,88
1986-05-19,The Essential Calvin and Hobbes,97
1986-05-20,Calvin and Hobbes,88
1986-05-20,The Essential Calvin and Hobbes,97
1986-05-21,The Calvin and Hobbes Tenth Anniversary Book,31
1986-05-21,Calvin and Hobbes,88
1986-05-21,The Essential Calvin and Hobbes,97
1986-05-22,Calvin and Hobbes,89
1986-05-22,The Essential Calvin and Hobbes,98
1986-05-23,Calvin and Hobbes,89
